LP.;Kod 9-znakowy;Nazwa stacji;Rzeka;Rok założenia;Szerokość geograficzna;Długość geograficzna;Rzędna zera wodowskazu;Kilometr biegu rzeki
651;153150070;Drozdowo;Dębosznica (432168);1978;53 59 57;15 33 53;25.843;23.74
652;153150080;Łobez;Rega (42);1947;53 37 45;15 36 48;54.244;118.63
653;153150090;Gola Dolna;Rega (42);1966;53 44 59;15 43 50;73.916;143.82
654;153150100;Drawno;Drawa (1888);1941;53 13 04;15 45 50;75.607;69.8
655;153150120;Drawsko Pomorskie;Drawa (1888);1873;53 31 37;15 48 39;107.553;137.45
656;153150190;Mołstowo;Mołstowa (428);2023;53 59 14;15 21 49;11.458;7.78
657;153160020;Tychówko;Parsęta (44);1946;53 54 03;16 03 55;33.235;82.95
658;153160030;Stare Drawsko;Drawa (1888);1956;53 36 06;16 11 42;127.346;180.25
659;153160040;Czaplinek;Jez. Drawsko (Drawa) (1888);1970;53 33 39;16 13 34;127.421;175.31
660;153160070;Nadarzyce;Piława (18865994);1957;53 27 57;16 29 45;119.495;50.63
661;153160080;Storkowo;Parsęta (44);1984;53 46 45;16 29 42;83.924;140.72
662;153160110;Wiesiółka;Dobrzyca (188659948);1957;53 16 18;16 36 44;83.965;12.13
663;153160160;Ujście 2;Noteć (188);1818;53 03 18;16 43 17;45.628;119.13
664;153160170;Ujście;Noteć (188);1818;53 03 17;16 43 49;45.628;119.78
665;153160180;Piła;Gwda (1886);1888;53 09 04;16 44 22;54.528;24.87
666;153160190;Zabrodzie;Piława (18865994);1955;53 15 26;16 44 54;67.013;5.83
667;153160200;Gwda Wielka;Gwda (1886);1891;53 44 25;16 47 37;132.092;122.05
668;153160210;Ptusza;Gwda (1886);1945;53 22 00;16 47 47;79.943;57.55
669;153160250;Okonek;Czarna (188654);1969;53 31 29;16 50 06;122.986;11.85
670;153160260;Czarne;Czernica (18862);1969;53 41 40;16 57 04;125.899;10.43
671;153170010;Białośliwie;Noteć (188);1856;53 04 25;17 07 29;46.658;149.52
672;153170040;Wyrzysk;Łobżonka (1884);1952;53 09 03;17 16 15;60.883;13.84
673;153170050;Ciecholewy;Brda (292);1946;53 48 52;17 24 39;120.255;173.04
674;153170060;Swornegacie;Brda (292);1892;53 51 35;17 29 54;118.022;158.53
675;153170070;Swornegacie;Zbrzyca (292372);1892;53 52 57;17 30 34;118.622;0.44
676;153170080;Charzykowy;Jez. Charzykowskie (Brda) (292);1955;53 44 16;17 30 30;120.082;164.38
677;153170100;Nakło-Zachód;Noteć (188);1831;53 07 25;17 33 44;49.53;182.7
678;153170110;Motyl;Sępolna (29274);1978;53 25 41;17 49 36;84.84;6.84
679;153170120;Tuchola;Brda (292);1946;53 34 23;17 54 12;87.597;85.64
680;153170140;Smukała;Brda (292);1946;53 11 17;17 57 47;39.79;20.53
681;153179996;Chociński Młyn;Chocina (292332);1962;53 49 53;17 26 54;126.163;10.35
682;153180010;Czarna Woda;Wda (294);1946;53 50 28;18 05 34;111.094;142.17
683;153180020;FORDON;Wisła (2);1873;53 08 48;18 10 12;24.796;166.99
684;153180030;Bożepole Szlacheckie;Wierzyca (298);1922;53 58 35;18 13 52;109.354;116.72
685;153180040;Tleń;Prusina (2946);1967;53 37 12;18 15 28;69.35;1.55
686;153180050;Błędno;Wda (294);1930;53 42 06;18 20 50;80.407;72.45
687;153180060;Krąplewice;Wda (294);1930;53 29 22;18 22 51;31.025;22.29
688;153180080;Chełmno;Wisła (2);1810;53 21 47;18 24 54;19.045;135.36
689;153180090;Toruń;Wisła (2);1760;53 00 28;18 36 27;32.053;207.23
690;153180100;GRUDZIĄDZ;Wisła (2);1810;53 29 06;18 44 43;13.99;107.34
691;153180110;Brody Pomorskie;Wierzyca (298);1931;53 51 30;18 45 37;15.939;11.77
692;153180120;Hel;Morze Bałtyckie (0);1896;54 36 07;18 48 02;-4.934;0.0
693;153180130;Kwidzyn;Liwa (522);1952;53 43 20;18 54 41;10.435;27.27
694;153180140;Elgiszewo;Drwęca (28);1948;53 03 39;18 55 42;45.816;29.74
695;153180150;Rogóżno 2;Osa (296);1889;53 31 00;18 56 56;31.433;20.31
696;153190010;Świecie;Lutryna (2966);1946;53 26 36;19 05 53;48.272;1.54
697;153190020;Lisnowo;Osa (296);1889;53 26 55;19 08 08;54.822;49.25
698;153190030;Prabuty;Jez. Dzierzgoń (liwa) (522);1975;53 46 45;19 11 59;78.302;76.26
699;153190040;Bągart;Elbląg (54);1959;53 57 58;19 22 09;-5.077;38.61
700;153190050;Brodnica;Drwęca (28);1948;53 15 20;19 24 03;67.517;99.68
701;153190080;Iława;Jez. Jeziorak (Iławka) (2856);1946;53 35 58;19 33 13;90.388;15.89
702;153190090;Nowe Miasto Lubawskie;Drwęca (28);1946;53 25 20;19 35 24;79.945;152.11
703;153190100;Dziarny;Iławka (2856);1959;53 34 14;19 36 53;97.014;8.66
704;153190120;Rodzone;Drwęca (28);1963;53 31 20;19 39 35;84.955;170.6
705;153190130;Kuligi;Wel (286);1947;53 25 46;19 41 27;94.915;11.66
706;153190140;Samborowo;Drwęca (28);1971;53 40 10;19 48 21;86.686;194.52
707;153190150;Lidzbark;Wel (286);1955;53 16 00;19 49 07;127.382;46.44
708;153190170;Ostróda;Jez. Drwęckie (Drwęca) (28);1946;53 42 10;19 57 34;90.582;197.08
709;153190180;Bachotek;Skarlanka (2876);2006;53 19 12;19 26 35;68.588;5.35
710;153190190;TAMA BRODZKA;Skarlanka (2876);2006;53 16 54;19 28 37;69.743;0.26
711;153200010;Idzbark;Drwęca (28);1971;53 40 20;20 02 02;96.397;220.03
712;153200020;SZREŃSK;Mławka (2684);1937;53 00 35;20 07 42;112.452;8.62
713;153200030;Kalisty;Pasłęka (56);1990;53 55 02;20 11 45;75.218;131.41
714;153200040;Tomaryny;Pasłęka (56);1905;53 44 10;20 12 24;104.152;169.26
715;153200050;Sarnowo;Szkotówka (2682);1955;53 16 08;20 14 47;150.996;3.98
716;153200070;OLSZTYN-KORTOWO;Łyna (584);1960;53 45 23;20 28 18;100.983;161.34
717;153200090;SZYPRY;Jez. Wadąg (Wadąg) (5844);2006;53 50 08;20 34 25;103.564;8.96
718;153200160;WIELBARK;Sawica (26542);1972;53 24 06;20 56 39;120.256;0.79
719;153210010;KRUKOWO;Omulew (2654);1930;53 18 32;21 06 29;114.584;66.9
720;153210020;KRASNOSIELC;Orzyc (2658);1929;53 02 07;21 09 16;101.84;59.86
721;153210040;MYSZYNIEC;Rozoga (2652);1938;53 23 11;21 20 27;119.583;45.56
722;153210050;SPYCHOWO;Krutynia (264326);1951;53 36 31;21 20 48;124.784;49.68
723;153210070;BIAŁOBRZEG BLIŻSZY;Omulew (2654);1972;53 06 30;21 28 43;94.48;10.22
724;153210090;OSTROŁĘKA;Narew (26);1876;53 05 02;21 33 46;89.472;145.57
725;153210120;WALERY;Rozoga (2652);2005;53 08 50;21 37 10;93.397;5.33
726;153210130;Głodowo;Jez. Śniardwy (Pisa) (264);1971;53 43 34;21 39 20;113.369;94.9
727;153210140;SZKWA;Szkwa (26518);2005;53 10 49;21 41 09;91.664;2.36
728;153210170;PTAKI;Pisa (264);1921;53 23 35;21 47 32;104.929;39.0
729;153210180;Zaruzie;Ruż (26516);1956;53 08 54;21 48 01;98.969;7.28
730;153210190;PISZ;Pisa (264);1850;53 37 28;21 48 23;112.734;84.07
731;153210200;MALDANIN;Jez. Roś (Pisa) (264);1901;53 39 02;21 49 26;113.884;86.02
732;153210210;NOWOGRÓD;Narew (26);1919;53 13 36;21 51 55;93.08;179.77
733;153210220;DOBRYLAS;Pisa (264);1938;53 17 09;21 51 53;98.174;12.14
734;153210230;MIKOSZE;Orzysza (26458);1974;53 48 21;21 55 23;116.941;8.97
735;153220010;PIĄTNICA-ŁOMŻA;Narew (26);1876;53 11 36;22 05 36;95.406;203.84
736;153220050;EŁK;Jez. Ełckie (2628939);1893;53 49 13;22 20 39;118.591;50.91
737;153220060;EŁK;Ełk (2628);1971;53 49 54;22 23 00;119.807;58.4
738;153220070;WIZNA;Narew (26);1900;53 12 03;22 24 29;97.553;249.76
739;153220080;PROSTKI;Ełk (2628);1970;53 42 02;22 26 21;114.009;33.22
740;153220090;CZACHY;Wissa (26296);1956;53 22 41;22 26 46;102.111;6.28
741;153220100;BURZYN;Biebrza (262);1946;53 16 27;22 27 33;98.942;7.88
742;153220110;CHEŁCHY;Lega (2626);1973;53 52 46;22 28 04;121.848;89.55
743;153220130;STRĘKOWA GÓRA;Narew (26);1916;53 13 11;22 32 19;99.274;260.04
744;153220140;PRZECHODY;Ełk (2628);1958;53 33 18;22 35 11;108.018;11.45
745;153220150;KUCZE;Lega (2626);1951;53 46 56;22 35 49;117.834;71.09
746;153220160;OSOWIEC;Ełk (2628);1953;53 29 12;22 37 36;103.591;1.16
747;153220170;OSOWIEC;Biebrza (262);1946;53 28 59;22 38 19;103.597;51.23
748;153220180;ZAWADY;Ślina (26196);2005;53 09 25;22 40 25;106.217;7.19
749;153220190;RAJGRÓD;Jez. Rajgrodzkie (Lega) (2626);1953;53 43 58;22 41 59;116.162;55.96
750;153220200;RAJGRÓD;Lega (2626);1946;53 43 50;22 42 06;116.022;55.67
751;153220220;WOŹNAWIEŚ;Lega (2626);1975;53 41 01;22 44 58;112.524;44.02
752;153220230;KULESZE-CHOBOTKI;Nereśl (2618);1968;53 14 30;22 45 53;104.351;4.24
753;153220240;RACZKI;Netta (2622);1954;53 59 27;22 47 10;145.038;72.48
754;153220250;DOLISTOWO STARE;Biebrza (262);1981;53 33 12;22 54 25;105.949;76.9
755;153220260;DĘBOWO;Biebrza (262);1946;53 36 35;22 55 49;108.151;84.1
756;153220270;BABINO;Narew (26);2005;53 09 15;22 56 33;104.134;299.64
757;153220280;BIAŁOBRZEGI;Netta (2622);1946;53 48 15;22 57 59;116.435;32.64
758;153220290;SZCZEBRA;Blizna (26224);1957;53 54 22;22 58 31;121.795;3.0
759;153220310;CZARNA WIEŚ;Kanał Kuwasy (262898);2004;53 42 40;22 38 22;115.623;14.75
760;153230010;FASTY;Supraśl (2616);1928;53 10 43;23 01 36;108.98;7.51
761;153230020;KARPOWICZE;Brzozówka (2624);1946;53 35 07;23 02 36;111.732;13.41
762;153230060;ZAWADY;Biała (26168);1963;53 09 37;23 06 24;112.255;7.82
763;153230070;SZTABIN;Biebrza (262);1946;53 40 19;23 06 59;113.861;109.26
764;153230080;SOCHONIE;Czarna (26166);1980;53 13 01;23 10 50;118.466;4.01
765;153230110;SUPRAŚL;Supraśl (2616);2005;53 12 45;23 20 18;120.036;39.96
766;153230120;JAŁOWY RÓG;Czarna Hańcza (64);1973;53 54 00;23 24 21;107.573;49.04
767;153230130;HARASIMOWICZE;Sidra (26214);1971;53 39 45;23 26 56;115.824;7.04
768;153230140;SOKOŁDA;Sokołda (26162);1956;53 14 50;23 28 35;128.872;8.43
769;153230160;Gródek;Supraśl (2616);1958;53 05 42;23 40 18;137.816;84.58
770;153230170;NOWOSIÓŁKI;Supraśl (2616);1931;53 10 24;23 31 48;128.836;62.81
771;154150010;Trzebiatów;Rega (42);1947;54 03 49;15 15 39;0.005;14.43
772;154150030;Kołobrzeg;Morze Bałtyckie (0);1810;54 11 12;15 33 12;-4.902;0.0
773;154150040;Bardy;Parsęta (44);1885;54 05 30;15 42 50;3.784;25.33
774;154150050;Białogard;Parsęta (44);1946;54 00 11;15 58 35;19.369;61.55
775;154150060;Rościęcino;Parsęta (44);2024;54 06 55;15 36 26;;12.47
776;154150070;Karlino;Parsęta (44);2024;54 02 20;15 52 10;;45.37
777;154150080;Mrzeżyno;Morze Bałtyckie (0);2025;54 08 30;15 17 10;-4.905;
778;154160020;Białogórzyno;Radew (448);1924;54 03 45;16 07 00;25.59;31.19
779;154160030;Koszalin;Dzierżęcinka (45614);1947;54 11 08;16 11 20;22.644;10.81
780;154160040;Sianów;Uniesta (45618);1962;54 13 22;16 17 02;3.006;8.12
781;154160060;Grabowo;Grabowa (468);1974;54 17 54;16 26 15;6.328;18.55
782;154160070;Stary Kraków;Wieprza (46);1946;54 26 32;16 36 23;5.367;22.31
783;154160080;Cybulino;Radew (448);1984;54 02 25;16 37 04;71.429;77.81
784;154160090;Krąg;Grabowa (468);1946;54 14 34;16 43 23;26.567;43.04
785;154160100;Pieszcz;Moszczeniczka (4672);1978;54 27 26;16 46 11;10.706;2.47
786;154160110;Ustka;Morze Bałtyckie (0);1858;54 35 17;16 51 14;-4.914;0.0
787;154160120;Korzybie;Wieprza (46);1947;54 16 50;16 52 42;29.751;70.98
788;154160130;Ciecholub;Studnica (464);1956;54 09 57;16 54 07;53.35;2.08
789;154160140;Charnowo;Słupia (472);1946;54 32 46;16 55 39;2.69;12.42
790;154160150;Darłowo;Morze Bałtyckie (0);1819;54 26 21;16 22 49;-4.904;
791;154160160;Zielnowo;Wieprza (46);2024;54 26 31;16 28 32;;10.23
792;154169997;Sławno;Wieprza (46);1946;54 21 57;16 41 18;;49.17
793;154170010;Słupsk;Słupia (472);1873;54 28 12;17 01 52;12.849;34.71
794;154170020;Krępa;Glaźna (4728);1975;54 25 07;17 02 57;21.812;1.98
795;154170030;Skarszów Dolny;Skotawa (4726);1956;54 21 54;17 07 07;25.349;1.05
796;154170040;Kwisno;Wieprza (46);1956;54 05 06;17 07 49;123.113;120.79
797;154170060;Smołdzino;Łupawa (474);1886;54 39 42;17 12 53;2.478;13.45
798;154170070;Gałążnia Mała;Słupia (472);1946;54 17 18;17 18 06;50.273;78.02
799;154170080;Łupawa;Łupawa (474);1946;54 25 10;17 24 56;67.156;65.97
800;154170090;Izbica;Jez. Łebsko (Łeba) (476);1955;54 40 52;17 25 41;-4.942;2.84
801;154170100;Łeba;Morze Bałtyckie (0);1890;54 45 48;17 33 02;-4.913;
802;154170110;Cecenowo;Łeba (476);1946;54 39 16;17 33 51;1.275;28.23
803;154170120;Soszyca;Słupia (472);1966;54 15 00;17 34 47;108.387;120.87
804;154170130;Pogorzelice;Pogorzelica (4764);1977;54 29 18;17 35 43;20.313;6.35
805;154170150;Zawiaty;Łupawa (474);1946;54 19 57;17 37 13;112.403;92.62
806;154170160;Lębork;Łeba (476);1966;54 32 31;17 44 50;14.699;59.63
807;154170180;Wawrzynowo;Wda (294);1946;54 02 44;17 53 51;135.333;181.42
808;154170190;Borucino;Jez. Raduńskie Górne (Radunia) (4868);1971;54 15 12;17 59 29;156.827;97.31
809;154170230;Obrowo;Łupawa (474);2004;54 15 46;17 35 57;112.602;100.87
810;154170240;Borucino;Borucinka (48681152);2004;54 15 20;17 58 48;159.599;0.29
811;154170320;Głuszynko;Darżyńska Struga (47436);2023;54 29 35;17 27 11;63.972;6.02
812;154170330;Łebsko;Morze Bałtyckie (0);2024;54 45 11;17 32 12;;
813;154170340;Żelkówko;Słupia (472);2023;54 21 37;17 05 05;22.117;53.43
814;154179991;Stężyca;Radunia (4868);1975;54 12 24;17 57 16;161.257;103.58
815;154179998;Damno;Łupawa (474);1946;54 31 45;17 19 34;31.045;42.19
816;154180010;Sarnowy;Wierzyca (298);1930;54 04 22;18 00 58;143.375;146.23
817;154180020;Miłoszewo;Łeba (476);1947;54 26 24;18 01 46;121.362;110.3
818;154180030;Zamostne;Reda (478);1904;54 39 01;18 06 12;28.168;36.56
819;154180040;Ostrzyce;Jez. Ostrzyckie (Radunia) (4868);1947;54 15 23;18 06 41;159.274;76.73
820;154180050;Warszkowski Młyn;Piaśnica (4772);1966;54 41 30;18 09 11;21.835;22.67
821;154180060;Goręczyno;Radunia (4868);1905;54 15 49;18 09 53;155.353;72.5
822;154180070;Bolszewo;Bolszewka (4784);1965;54 36 39;18 10 00;29.459;2.86
823;154180080;Wejherowo;Reda (478);1941;54 36 48;18 13 30;19.594;25.59
824;154180090;Puck;Morze Bałtyckie (0);1931;54 43 21;18 24 39;-4.911;0.0
