LP.;Kod 9-znakowy;Nazwa stacji;Rzeka;Rok założenia;Szerokość geograficzna;Długość geograficzna;Rzędna zera wodowskazu;Kilometr biegu rzeki
1;149180010;Krzyżanowice;Odra (1);1927;49 59 37;18 17 14;184.806;713.04
2;149180020;Chałupki;Odra (1);1891;49 55 19;18 19 40;192.727;725.83
3;149180030;Łaziska;Olza (114);2006;49 55 28;18 26 35;199.352;9.3
4;149180040;Gołkowice;Szotkówka (1148);1962;49 55 33;18 29 47;207.436;3.83
5;149180050;Zebrzydowice;Piotrówka (1146);1961;49 52 48;18 36 48;224.881;18.53
6;149180060;Cieszyn;Olza (114);1895;49 44 45;18 37 47;266.239;37.4
7;149180070;Cieszyn;Młynówka (11448);1963;49 44 46;18 37 53;271.389;1.36
8;149180080;DROGOMYŚL;Wisła (2);2006;49 53 09;18 44 58;253.594;974.6
9;149180090;MIZERÓW-BORKI;Pszczynka (2116);;49 59 56;18 46 07;250.515;32.78
10;149180100;SKOCZÓW;Wisła (2);1895;49 48 12;18 47 30;285.829;986.28
11;149180110;Ustroń-Obłaziec;Wisła (2);1904;49 40 50;18 51 01;398.862;1001.69
12;149180120;Górki Wielkie;Brennica (21114);1946;49 46 21;18 51 08;324.085;3.13
13;149180130;Istebna;Olza (114);1959;49 34 19;18 53 34;534.009;80.27
14;149180140;Wisła;Wisła (2);1904;49 37 55;18 54 03;470.717;1009.56
15;149180160;Wisła-Czarne;Wisła (2);2005;49 37 08;18 55 07;510.378;1011.74
16;149180180;Wisła-Czarne (Biała Wisełka);Biała Wisełka (2111152);2005;49 37 05;18 56 08;551.577;0.0
17;149180200;Wisła-Czarne (Czarna Wisełka);Wisła (2);2005;49 36 27;18 55 34;553.378;1013.39
18;149180210;Zabrzeg;Wisła (2);2006;49 55 31;18 56 07;241.824;956.99
19;149180220;Pszczyna;Pszczynka (2116);1958;49 58 45;18 56 45;240.22;17.4
20;149180230;Podkępie;Wapienica (21128);1930;49 53 44;18 58 39;243.544;2.1
21;149180240;Goczałkowice;Wisła (2);1901;49 55 54;18 59 09;238.518;952.41
22;149180250;CZECHOWICE-DZIEDZICE;Iłownica (2112);1895;49 54 49;18 59 11;240.733;1.44
23;149180300;Olza;Odra (1);2003;49 57 17;18 19 34;186.162;718.19
24;149190010;CZECHOWICE-BESTWINA;Biała (2114);1956;49 53 29;19 01 49;258.853;6.9
25;149190020;KAMESZNICA;Bystra (213232);1910;49 34 05;19 04 11;452.532;1.24
26;149190030;MIKUSZOWICE;Biała (2114);1927;49 46 46;19 04 27;360.987;21.38
27;149190040;UJSOŁY;Woda Ujsolska (21322);1942;49 29 34;19 07 02;520.172;2.63
28;149190050;RAJCZA;Soła (2132);1949;49 30 50;19 06 59;482.106;76.36
29;149190060;JAWISZOWICE;Wisła (2);1887;49 58 21;19 07 19;231.591;939.12
30;149190070;ŁODYGOWICE;Żylica (213274);1945;49 43 38;19 08 10;367.719;3.02
31;149190080;CIĘCINA;Soła (2132);1900;49 37 29;19 08 56;383.276;59.65
32;149190090;ŻABNICA;Żabniczanka (213234);1925;49 33 53;19 10 49;565.0;7.62
33;149190100;Żywiec;Soła (2132);1887;49 41 11;19 11 35;342.122;50.61
34;149190120;CZANIEC-KOBIERNICE;Soła (2132);2005;49 50 54;19 13 40;281.664;29.95
35;149190140;ŁĘKAWICA;Łękawka (213278);1962;49 42 42;19 15 44;358.519;2.74
36;149190150;PEWEL MAŁA;Koszarawa (21324);1962;49 39 31;19 18 20;405.239;9.84
37;149190160;RUDZE;Wieprzówka (21348);1896;49 57 42;19 26 33;230.942;1.22
38;149190170;ZATOR;Skawa (2134);1867;49 59 57;19 26 44;220.816;4.7
39;149190180;WADOWICE;Skawa (2134);1867;49 52 38;19 30 40;254.209;22.54
40;149190190;ZAWOJA;Skawica (21344);1957;49 38 26;19 32 07;577.629;17.15
41;149190200;SUCHA BESKIDZKA;Stryszawka (21346);1902;49 44 36;19 36 04;324.008;0.37
42;149190210;SUCHA BESKIDZKA;Skawa (2134);1887;49 44 22;19 36 31;324.177;44.35
43;149190220;SKAWICA DOLNA;Skawica (21344);1928;49 41 10;19 39 49;408.113;4.09
44;149190230;CZERNICHÓW-PROM;Wisła (2);1995;49 58 53;19 39 47;203.825;875.36
45;149190250;JABŁONKA;Piekielnik (82224);1954;49 28 20;19 41 43;609.651;0.82
46;149190260;OSIELEC;Skawa (2134);1917;49 41 00;19 44 21;393.762;57.8
47;149190270;RADZISZÓW;Skawinka (21356);1928;49 56 24;19 48 32;213.631;8.67
48;149190280;KONIÓWKA;Dunajec (214);1966;49 23 44;19 49 06;725.937;224.55
49;149190290;JORDANÓW;Skawa (2134);1928;49 38 11;19 49 48;443.062;72.49
50;149190300;KOŚCIELISKO-KIRY;Kirowa Woda (214112);1917;49 16 33;19 52 05;920.916;2.63
51;149190310;STRÓŻA;Raba (2138);1897;49 47 49;19 55 29;297.158;77.97
52;149190320;ZAKOPANE-DOL.STRĄŻYSKA;Młyniska (214122);1963;49 16 34;19 56 08;910.873;3.14
53;149190340;RABKA 2;Raba (2138);1984;49 36 49;19 56 56;469.183;110.38
54;149190350;KRZCZONÓW;Krzczonówka (213836);1957;49 44 12;19 57 14;344.336;2.17
55;149190360;LUDŹMIERZ ;Lepietnica (2141156);1922;49 28 07;19 58 32;596.044;0.27
56;149190370;LUBIEŃ;Lubieńka (213834);1957;49 43 11;19 58 42;342.494;0.35
57;149190380;ZAKOPANE-HARENDA;Biały Dunajec (21412);1922;49 18 58;19 58 38;763.253;21.54
58;149190390;LUDŹMIERZ;Wielki Rogoźnik (214116);1924;49 27 34;19 59 12;592.828;0.4
59;149190480;Zembrzyce;Paleczka (2134732);2024;49 46 20;19 36 59;316.485;1.35
60;149190490;Bystra 2;Bystrzanka (21342);2024;49 39 06;19 47 01;434.44;1.33
61;149190500;Rzyki;Wieprzówka (21348);2024;49 49 25;19 22 36;377.011;23.29
62;149190510;Brody;Cedron (213568);2023;49 51 59;19 41 41;283.143;23.86
63;149200010;PORONIN;Poroniec (214128);1917;49 20 14;20 00 11;730.631;0.13
64;149200020;SZAFLARY;Biały Dunajec (21412);1940;49 25 27;20 01 29;635.561;7.53
65;149200030;NOWY TARG;Dunajec (214);1898;49 29 04;20 01 52;579.44;201.1
66;149200040;KASINKA MAŁA;Raba (2138);1966;49 42 17;20 01 57;357.071;93.04
67;149200050;NOWY TARG-KOWANIEC;Dunajec (214);1940;49 29 13;20 03 13;573.685;199.29
68;149200060;MSZANA DOLNA;Raba (2138);1887;49 39 29;20 03 33;394.76;99.31
69;149200070;MORSKIE OKO;Rybi Potok (2141542);1951;49 12 03;20 04 17;1393.84;4.05
70;149200080;MSZANA DOLNA;Mszanka (21382);1902;49 40 29;20 04 46;391.937;2.88
71;149200090;DOBCZYCE;Raba (2138);1971;49 53 01;20 05 10;235.763;59.65
72;149200100;ŁYSA POLANA;Białka (214154);1917;49 15 49;20 06 54;965.716;30.99
73;149200110;TRYBSZ 2;Białka (214154);1994;49 25 04;20 07 04;639.45;9.7
74;149200120;NIEDZICA;Niedziczanka (214172);1966;49 24 41;20 18 08;495.816;1.84
75;149200130;STRADOMKA;Stradomka (21388);1957;49 55 14;20 18 30;204.904;1.77
76;149200140;SROMOWCE WYŻNE;Dunajec (214);1966;49 24 02;20 21 14;470.934;171.85
77;149200150;TYLMANOWA;Ochotnica (2141976);1966;49 31 03;20 23 14;394.486;0.99
78;149200160;KROŚCIENKO;Dunajec (214);1898;49 26 30;20 25 46;413.603;151.52
79;149200170;PROSZÓWKI;Raba (2138);1887;49 59 47;20 26 18;185.406;21.75
80;149200180;SZCZAWNICA;Grajcarek (214196);1916;49 25 13;20 29 36;468.848;3.12
81;149200190;GOŁKOWICE;Dunajec (214);1889;49 32 59;20 34 12;312.135;121.09
82;149200200;JAKUBKOWICE;Łososina (214734);1898;49 44 22;20 37 48;246.446;6.52
83;149200220;STARY SĄCZ;Poprad (2142);1887;49 34 07;20 39 35;295.494;2.74
84;149200230;CZCHÓW;Dunajec (214);1940;49 48 59;20 40 56;222.543;69.57
85;149200240;NOWY SĄCZ;Dunajec (214);1867;49 37 38;20 41 14;275.813;108.12
86;149200250;NOWY SĄCZ;Kamienica (21432);1898;49 37 31;20 41 45;278.968;0.95
87;149200260;NOWY SĄCZ;Łubinka (21434);1961;49 38 07;20 42 17;281.435;2.42
88;149200270;ŁABOWA;Kamienica (21432);1934;49 31 35;20 51 32;450.321;20.51
89;149200280;ZGŁOBICE;Dunajec (214);1867;49 58 30;20 52 46;189.728;38.88
90;149200290;MUSZYNA-MILIK;Poprad (2142);1902;49 21 00;20 53 05;440.532;53.8
91;149200300;MUSZYNA;Poprad (2142);1925;49 20 22;20 53 31;446.487;55.92
92;149200310;GRYBÓW;Biała (2148);1934;49 37 26;20 56 45;320.684;75.49
93;149200320;KOSZYCE WIELKIE;Biała (2148);1891;49 59 50;20 56 58;189.849;6.56
94;149200330;CIĘŻKOWICE;Biała (2148);1887;49 47 32;20 58 25;238.628;48.39
95;149200520;Pierzchów;Królewski Potok (213892);2024;49 56 03;20 16 48;207.72;2.72
96;149200530;Skrzynka;Krzyworzeka (213874);2024;49 52 29;20 07 58;240.61;2.84
97;149200540;Gdów 2;Raba (2138);2023;49 54 05;20 12 42;214.547;48.76
98;149209990;Piekiełko;Łososina (214734);1929;49 44 58;20 20 45;370.055;36.88
99;149210010;ROPA;Ropa (2182);2005;49 35 09;21 02 47;335.452;50.99
100;149210020;GORLICE;Sękówka (21826);1957;49 39 17;21 10 13;279.285;0.5
101;149210030;KLĘCZANY;Ropa (2182);1887;49 42 05;21 13 00;259.237;28.37
102;149210040;ŁABUZIE;Wisłoka (218);1867;49 59 16;21 18 35;184.8;71.64
103;149210050;KRAJOWICE;Wisłoka (218);1942;49 46 20;21 24 45;213.516;104.57
104;149210060;TOPOLINY;Ropa (2182);1898;49 43 29;21 26 36;224.913;3.38
105;149210070;ŻÓŁKÓW;Wisłoka (218);1887;49 43 48;21 27 33;225.014;113.61
106;149210080;JASŁO;Jasiołka (2184);1887;49 45 01;21 28 23;220.657;0.99
107;149210090;KREMPNA-KOTAŃ;Wisłoka (218);1997;49 30 59;21 29 03;371.313;155.49
108;149210100;ZBOISKA;Jasiołka (2184);1911;49 34 28;21 41 54;311.682;40.7
109;149210110;KROSNO;Wisłok (226);1888;49 41 38;21 46 29;256.92;152.99
110;149210120;GODOWA;Stobnica (2264);1975;49 50 55;21 48 42;216.151;2.78
111;149210130;ŻARNOWA;Wisłok (226);1888;49 52 40;21 49 03;213.569;102.96
112;149210140;ISKRZYNIA;Morwawa (2262);1955;49 40 38;21 51 52;266.385;1.27
113;149210150;PUŁAWY;Wisłok (226);1983;49 29 24;21 54 24;386.023;196.31
114;149210160;SIENIAWA;Wisłok (226);2005;49 34 04;21 55 48;305.474;184.81
115;149210180;Kunkowa;Przysłopianka (218232);1991;49 32 57;21 07 31;409.723;1.1
116;149210190;Uście Gorlickie;Ropa (2182);1990;49 31 11;21 08 27;396.318;63.93
117;149210200;Uście Gorlickie;Zdynia (218218);1990;49 31 03;21 08 37;394.727;0.29
118;149210210;Pastwiska;Wisłok (226);1990;49 31 20;21 55 42;339.765;190.52
119;149210450;Darów;Wisłok (226);2023;49 26 37;21 54 38;420.517;203.2
120;149210460;Odrzechowa;Odrzechowski (226156);2023;49 32 45;21 57 05;331.99;
121;149210470;Miejsce Piastowe;Lubatówka (22632);2023;49 37 52;21 46 50;281.195;12.18
122;149210480;Wisłok Wielki;Wisłok (226);2023;49 24 02;21 58 46;484.022;212.63
123;149220010;NOWOSIELCE;Pielnica (22618);1977;49 34 01;22 04 15;301.943;13.08
124;149220020;SZCZAWNE;Osława (222);1911;49 24 13;22 09 01;392.999;30.28
125;149220030;OLCHOWCE;San (22);1918;49 33 22;22 13 07;283.78;295.56
126;149220040;DYNÓW;San (22);1890;49 48 02;22 14 39;234.906;248.14
127;149220050;ZAGÓRZ;Osława (222);1903;49 30 48;22 16 08;299.073;2.62
128;149220060;LESKO;San (22);1948;49 28 09;22 19 20;315.851;316.87
129;149220070;HOCZEW;Hoczewka (2218);1926;49 25 26;22 19 42;331.058;1.35
130;149220080;CISNA;Solinka (22134);1958;49 12 48;22 19 59;543.871;19.35
131;149220100;TERKA;Solinka (22134);1922;49 17 59;22 25 45;434.36;4.14
132;149220110;KALNICA;Wetlina (221346);1965;49 11 20;22 25 45;573.014;16.03
133;149220130;ZATWARNICA;San (22);1967;49 14 06;22 33 47;485.741;378.49
134;149220140;POLANA;Czarna (22132);1965;49 18 09;22 34 27;437.412;4.24
135;149220150;DWERNIK;San (22);1926;49 13 07;22 37 58;512.061;385.25
136;149220160;RYBOTYCZE;Wiar (224);1961;49 39 16;22 38 18;286.966;41.71
137;149220170;KROŚCIENKO;Strwiąż (76);1959;49 28 23;22 39 46;400.869;34.51
138;149220180;STUPOSIANY;Wołosaty (22114);1967;49 11 09;22 41 01;544.66;1.5
139;149220190;PRZEMYŚL;San (22);1863;49 47 05;22 46 02;190.521;173.56
140;149220200;KRÓWNIKI;Wiar (224);1888;49 46 01;22 49 23;191.473;3.6
141;149220210;NIENOWICE;Wisznia (2252);1897;49 56 16;22 55 01;178.842;3.5
142;149229998;Kańczuga;Mleczka (2268);1949;49 58 48;22 25 14;194.341;22.39
143;149229999;Manasterz;Mleczka (2268);1979;49 55 39;22 20 15;217.896;32.7
144;149230020;BUDZYŃ;Szkło (2254);2003;49 59 05;23 07 20;195.067;37.45
145;150140010;Porajów;Nysa Łużycka (174);1964;50 53 14;14 49 17;228.168;196.62
146;150140020;Sieniawka;Nysa Łużycka (174);1897;50 53 47;14 50 13;225.103;195.1
147;150140030;Turoszów;Miedzianka (17416);2005;50 56 20;14 55 04;218.039;1.79
148;150140100;BOGATYNIA;Miedzianka (17416);2015;50 53 32;14 59 42;290.437;10.92
149;150140140;Kopaczów;Lubota (174134);2023;50 52 20;14 49 43;237.12;0.42
150;150150010;Mirsk;Kwisa (166);1891;50 59 22;15 23 02;325.445;109.69
151;150150020;Mirsk;Czarny Potok (16632);1922;50 59 12;15 23 02;329.106;0.29
152;150150030;Jakuszyce;Kamienna (162);1973;50 49 21;15 26 24;849.671;31.55
153;150150040;Barcinek;Kamienica (163332);1946;50 56 38;15 36 14;321.859;3.03
154;150150050;Piechowice;Kamienna (162);1944;50 51 00;15 35 18;384.512;15.59
155;150150060;Pilchowice;Bóbr (16);1902;50 57 50;15 38 26;238.876;197.82
156;150150070;Jelenia Góra;Kamienna (162);1954;50 53 55;15 43 20;326.291;1.79
157;150150080;Jelenia Góra;Bóbr (16);1887;50 54 39;15 43 17;322.365;211.54
158;150150090;Łomnica;Łomnica (1618);1956;50 52 35;15 48 11;345.74;0.43
159;150150100;Wojanów;Bóbr (16);1955;50 52 14;15 49 37;348.806;225.01
160;150150110;Kowary;Jedlica (16188);1904;50 47 41;15 50 03;452.795;10.31
161;150150120;Bukówka;Bóbr (16);1903;50 42 46;15 57 27;507.73;273.1
162;150150130;Błażkowa;Bóbr (16);1898;50 44 22;15 59 11;465.376;264.72
163;150150190;Podgórzyn;Podgórna (16288);2007;50 49 13;15 41 01;399.56;5.05
164;150150200;Sosnówka;Sośniak (16288832);2007;50 49 20;15 43 09;377.782;0.45
165;150150230;Opawa;Bóbr (16);2023;50 42 05;15 55 32;535.078;276.6
166;150159997;Miszkowice;Złotna (161152);1984;50 42 52;15 55 44;538.009;0.54
167;150160010;Kamienna Góra;Bóbr (16);1889;50 47 11;16 02 10;436.121;256.54
168;150160020;Świebodzice;Pełcznica (13486);1947;50 51 37;16 18 49;276.4;18.15
169;150160030;Chwaliszów;Strzegomka (1348);1986;50 52 40;16 13 59;299.762;67.79
170;150160040;Kudowa-Zdrój-Zakrze;Klikawa (946);1956;50 25 51;16 14 38;374.684;4.38
171;150160060;Jugowice;Bystrzyca (134);1904;50 43 59;16 24 12;367.376;86.79
172;150160070;Lubachów;Bystrzyca (134);1918;50 45 57;16 25 52;298.423;80.74
173;150160080;Tłumaczów;Ścinawka (122);1901;50 33 07;16 26 10;340.263;24.56
174;150160090;Łażany;Strzegomka (1348);1888;50 57 11;16 29 33;182.465;40.12
175;150160100;Gorzuchów;Ścinawka (122);1904;50 29 07;16 34 16;294.367;8.08
176;150160110;Szalejów Dolny;Bystrzyca Dusznicka (1218);1901;50 25 11;16 36 17;303.914;4.82
177;150160120;Krasków;Bystrzyca (134);1936;50 54 56;16 35 02;176.425;55.59
178;150160130;Mościsko;Piława (1344);1948;50 46 55;16 35 03;235.467;22.75
179;150160140;Dzierżoniów;Piława (1344);1896;50 43 33;16 38 46;252.899;31.71
180;150160150;Bystrzyca Kłodzka;Bystrzyca (1214);1898;50 17 47;16 38 55;339.728;0.25
181;150160160;Mietków;Bystrzyca (134);1986;50 58 06;16 39 02;152.782;45.91
182;150160170;Bystrzyca Kłodzka;Nysa Kłodzka (12);1898;50 17 37;16 38 54;337.823;151.38
183;150160180;Kłodzko;Nysa Kłodzka (12);1884;50 26 33;16 39 31;281.617;130.04
184;150160190;Międzylesie;Nysa Kłodzka (12);1898;50 09 20;16 39 51;425.062;172.96
185;150160200;Żelazno;Biała Lądecka (1216);1893;50 22 23;16 40 26;316.849;5.02
186;150160210;Wilkanów;Wilczka (1212);1899;50 15 55;16 39 44;362.801;2.39
187;150160220;Bardo;Nysa Kłodzka (12);1889;50 30 16;16 44 23;256.202;113.14
188;150160230;Lądek-Zdrój;Biała Lądecka (1216);1889;50 20 48;16 52 13;420.646;23.04
189;150160250;Białobrzezie;Ślęza (1336);1921;50 48 08;16 53 32;159.632;56.53
190;150160270;Kamieniec Ząbkowicki;Budzówka (1232);2005;50 31 56;16 51 54;238.113;3.07
191;150160280;Borów;Ślęza (1336);1896;50 53 20;16 59 26;136.125;37.75
192;150160290;Gniechowice;Czarna Woda (1346);2005;50 59 15;16 49 45;138.153;5.41
193;150160330;Szczytna;Kamienny Potok (12184);2023;50 24 56;16 26 35;454.805;0.93
194;150160340;Sarny;Włodzica (1224);2023;50 32 52;16 27 57;334.726;0.54
195;150160350;Szalejów Górny;Bystrzyca Dusznicka (1218);2023;50 25 06;16 32 14;339.489;12.31
196;150160360;Starków;Duna Dolna (121584);2023;50 22 39;16 34 48;341.516;3.96
197;150160370;Topolice;Duna Górna (12158);2023;50 22 01;16 36 33;332.834;3.79
198;150160380;Krosnowice;Duna Górna (12158);2023;50 23 01;16 37 43;300.684;0.38
199;150160390;Roztoki Bystrzyckie;Goworówka (12114);2023;50 11 27;16 40 20;400.131;0.07
200;150160400;Boboszów;Nysa Kłodzka (12);2024;50 06 53;16 41 30;475.19;179.7
201;150160410;Gajnik;Cieszyca (121144);2023;50 11 37;16 42 14;432.699;1.64
202;150160420;Goworów;Goworówka (12114);2023;50 10 44;16 42 43;465.576;4.31
203;150160430;Domanice;Bystrzyca (134);2024;50 56 55;16 35 11;166.81;51.0
204;150169999;Sędzisław;Bóbr (16);1967;50 49 10;16 02 43;422.449;251.35
205;150170010;Zborowice;Oława (1334);1976;50 48 20;17 10 14;146.135;52.95
206;150170030;Oława;Oława (1334);1888;50 56 52;17 17 34;124.902;31.61
207;150170040;Oława;Odra (1);1895;50 56 47;17 18 23;122.079;544.0
208;150170050;Biała Nyska;Biała Głuchołaska (12598);2005;50 26 01;17 17 51;196.367;0.39
209;150170060;Nysa;Nysa Kłodzka (12);1876;50 28 52;17 20 30;179.376;61.84
210;150170070;Głuchołazy;Biała Głuchołaska (12598);1897;50 19 02;17 22 50;279.88;18.06
211;150170080;Jarnołtówek;Złoty Potok (117644);1974;50 17 09;17 25 41;351.034;13.14
212;150170090;Brzeg;Odra (1);1891;50 51 56;17 28 10;129.188;561.41
213;150170100;Kopice;Nysa Kłodzka (12);1884;50 38 44;17 28 42;154.289;32.23
214;150170110;Prudnik;Prudnik (11764);1903;50 19 10;17 35 19;250.034;18.66
215;150170120;Niemodlin;Ścinawa Niemodlińska (128);1904;50 38 44;17 37 28;154.97;13.49
216;150170130;Ujście Nysy Kłodzkiej;Odra (1);1893;50 49 06;17 39 40;135.682;579.34
217;150170140;Skorogoszcz;Nysa Kłodzka (12);1820;50 45 43;17 40 30;140.022;7.55
218;150170150;Karłowice;Stobrawa (132);1995;50 52 43;17 43 18;140.186;12.44
219;150170160;Branice;Opawa (112);1966;50 03 04;17 46 10;287.037;58.53
220;150170170;Branice;Boczne koryto Opawy (112374);1966;50 03 05;17 46 19;286.185;0.29
221;150170180;Racławice Śląskie;Osobłoga (1176);1956;50 18 55;17 47 20;195.367;30.26
222;150170200;Domaradz;Bogacica (1324);1958;50 57 15;17 51 52;151.442;3.93
223;150170210;Krzywa Góra;Budkowiczanka (1328);1940;50 51 39;17 52 43;152.582;18.54
224;150170220;Dobra;Biała (11768);1898;50 26 53;17 53 49;165.711;1.86
225;150170240;Krapkowice;Odra (1);1834;50 28 38;17 58 05;155.648;634.95
226;150170290;Opole-Groszowice;Odra (1);2005;50 38 03;17 56 18;147.28;612.9
227;150170320;MALERZOWICE WIELKIE;Nysa Kłodzka (12);2022;50 35 04;17 28 28;162.162;40.82
228;150170330;Paczków;Nysa Kłodzka (12);2024;50 28 08;17 00 58;213.741;88.25
229;150170340;Dziewiętlice;Świdna (1259928);2024;50 24 57;17 05 07;225.43;6.93
230;150170350;Kałków;Widna (12594);2024;50 24 02;17 11 48;212.528;5.19
231;150170360;Steblów;Osobłoga (1176);2024;50 27 06;17 56 26;161.748;5.33
232;150180010;Kamionka;Stradunia (1174);1940;50 23 28;18 02 33;168.466;6.25
233;150180020;Turawa;Mała Panew (118);1934;50 44 23;18 04 36;160.42;17.7
234;150180030;Koźle;Odra (1);1862;50 21 07;18 08 48;162.597;657.01
235;150180040;Bojanów;Psina (1152);1969;50 01 50;18 09 15;195.779;9.46
236;150180050;Ozimek;Mała Panew (118);2005;50 40 45;18 12 14;175.852;30.17
237;150180060;Racibórz-Miedonia;Odra (1);1940;50 07 19;18 13 47;176.347;693.83
238;150180070;Lenartowice;Kłodnica (116);1892;50 21 27;18 14 08;172.503;7.34
239;150180080;Grabówka;Bierawka (1158);1985;50 17 04;18 16 33;176.694;5.28
240;150180090;Nędza;Sumina (11568);1887;50 09 28;18 18 38;186.345;5.08
241;150180100;Staniszcze Wielkie;Mała Panew (118);1899;50 39 48;18 20 33;186.617;42.3
242;150180110;Ruda Kozielska;Ruda (1156);1956;50 12 17;18 24 06;192.715;13.8
243;150180120;Tworóg Mały;Bierawka (1158);1955;50 15 24;18 28 00;202.065;23.03
244;150180130;Rybnik-Stodoły;Ruda (1156);2006;50 09 15;18 28 59;207.583;26.14
245;150180140;Rybnik;Nacyna (115654);1974;50 06 09;18 31 59;221.671;7.97
246;150180150;Pyskowice-Dzierżno;Kłodnica (116);2005;50 22 47;18 32 36;191.608;34.75
247;150180160;Pyskowice-Dzierżno;Drama (1166);2005;50 22 57;18 32 35;191.608;0.43
248;150180170;Pyskowice;Drama (1166);2005;50 23 11;18 35 20;205.132;3.99
249;150180190;Krupski Młyn;Mała Panew (118);1914;50 34 16;18 37 28;223.98;78.42
250;150180210;Niwki;Liswarta (1816);1930;50 49 15;18 39 45;231.676;63.02
251;150180220;Gliwice;Kłodnica (116);1908;50 17 53;18 40 06;210.865;48.09
252;150180230;Wesoła;Stoła (11816);1966;50 33 42;18 41 24;230.985;2.61
253;150180250;Kłodnica;Kłodnica (116);1955;50 14 12;18 51 51;236.23;66.45
254;150180270;Kozłowa Góra;Brynica (2126);2005;50 24 44;18 58 19;271.941;27.98
255;150180280;Rybnik-Gotartowice;Ruda (1156);2003;50 05 08;18 37 43;228.105;40.11
256;150180300;Tychy;Gostynia (2118);2023;50 05 12;18 58 40;240.0;15.5
257;150180310;Bobrowniki;Brynica (2126);2023;50 22 28;18 57 47;267.0;22.26
258;150180320;Rudziniec;Kłodnica (116);2023;50 22 43;18 24 21;186.97;24.05
259;150180330;Rybnik-Paruszowiec;Ruda (1156);2023;50 06 36;18 33 26;221.531;33.99
260;150180340;Kluczbork;Stobrawa (132);2024;50 58 09;18 14 24;181.55;57.86
261;150190010;Brynica;Brynica (2126);1922;50 28 21;19 00 02;278.872;36.01
262;150190050;Bieruń Stary;Mleczna (21188);1954;50 05 34;19 05 19;237.051;2.44
263;150190060;Bojszowy;Gostynia (2118);1955;50 03 40;19 06 30;229.671;4.15
264;150190070;Szabelnia;Brynica (2126);1947;50 15 34;19 08 12;244.653;0.09
265;150190080;Radocha;Przemsza (212);1947;50 15 39;19 08 25;244.373;27.54
266;150190100;Niwka;Biała Przemsza (2128);1922;50 14 09;19 09 39;240.555;0.78
267;150190120;PRZECZYCE;Przemsza (212);1942;50 25 38;19 10 40;275.823;52.03
268;150190130;ŁAGISZA;Przemsza (212);1969;50 21 02;19 11 08;260.124;41.66
269;150190140;BIERUŃ NOWY;Wisła (2);1833;50 03 53;19 11 37;226.218;921.0
270;150190150;Poraj;Warta (18);1958;50 40 24;19 12 14;264.358;761.03
271;150190160;OŚWIĘCIM;Soła (2132);1867;50 02 24;19 13 07;225.863;2.94
272;150190170;PUSTYNIA;Wisła (2);1887;50 03 48;19 14 11;223.369;917.14
273;150190180;JELEŃ;Przemsza (212);1896;50 09 40;19 14 23;231.147;12.88
274;150190190;PIWOŃ;Przemsza (212);1924;50 28 59;19 15 12;292.351;63.76
275;150190200;Lgota Nadwarcie;Warta (18);2005;50 37 06;19 15 34;276.658;769.97
276;150190210;Kuźnica Sulikowska;Mitręga (21234);1965;50 27 11;19 16 22;292.568;2.7
277;150190220;MSTÓW;Warta (18);1924;50 49 52;19 17 20;231.831;720.35
278;150190240;Kręciwilk;Warta (18);1930;50 32 43;19 22 13;305.093;785.34
279;150190250;Sławków;Biała Przemsza (2128);1925;50 17 59;19 23 56;278.761;28.24
280;150190260;SMOLICE;Wisła (2);1874;50 01 52;19 27 37;214.262;895.17
281;150190270;Golczowice;Biała Przemsza (2128);1954;50 21 41;19 36 09;323.0;54.78
282;150190280;Wąsosz;Pilica (254);2005;50 45 04;19 40 58;228.072;279.06
283;150190310;BALICE;Rudawa (2136);1897;50 05 35;19 48 24;216.437;10.15
284;150190330;OJCÓW;Prądnik (21374);1930;50 11 41;19 49 57;305.354;25.2
285;150190340;KRAKÓW-BIELANY;Wisła (2);1956;50 02 25;19 50 36;197.643;854.17
286;150190350;Januszewice;Czarna (2542);1972;50 56 30;19 57 39;208.895;15.26
287;150190360;Las;Wisła (2);2004;50 02 08;19 22 56;217.51;901.37
288;150190390;Częstochowa 1;Stradomka (1812);2021;50 47 45;19 07 30;243.186;0.69
289;150190400;Częstochowa 2;Kucelinka (18132);2021;50 48 22;19 09 15;241.183;1.72
290;150190410;Częstochowa 3;Warta (18);2021;50 48 50;19 07 58;240.184;734.72
291;150190420;JANUSZOWICE;Prądnik (21374);2022;50 09 04;19 53 27;255.131;16.85
292;150190430;Kamienica Polska;Kamieniczka (18118);2023;50 41 14;19 09 15;261.0;2.24
293;150190440;Słowik;Warta (18);2023;50 44 54;19 11 02;250.164;744.11
294;150190450;Nowa Kuźnica;Boży Stok (181152);2023;50 37 14;19 12 58;278.0;0.91
295;150190460;Masłońskie;Ordonka (181156);2023;50 38 57;19 15 12;277.0;0.72
296;150190470;Dąbek;Wiercica (18136);2023;50 50 58;19 26 39;221.8;4.12
297;150190480;Kraków-Łagiewniki;Wilga (21372);2024;50 00 43;19 56 16;209.862;5.19
298;150200010;MNISZEK;Nida (216);1955;50 43 39;20 17 06;217.837;125.05
299;150200020;BOCHENIEC;Wierna Rzeka (2162);1955;50 48 09;20 18 42;216.282;4.68
300;150200030;BRZEGI;Nida (216);1925;50 44 30;20 24 51;205.324;102.31
301;150200040;TOKARNIA;Czarna Nida (2164);1926;50 46 27;20 27 11;210.219;6.16
